datetime,value
2022-08-28 12:36:31,-208.0
2022-08-28 12:36:52,-210.0
2022-08-28 12:37:13,-82.0
2022-08-28 12:37:33,173.0
2022-08-28 12:37:54,98.0
2022-08-28 12:38:14,-112.0
2022-08-28 12:38:42,18.0
2022-08-28 12:39:03,-31.0
2022-08-28 12:39:22,48.0
2022-08-28 12:39:42,-59.0
2022-08-28 12:40:03,97.0
2022-08-28 12:40:28,-23.0
2022-08-28 12:40:47,-35.0
2022-08-28 12:41:13,-27.0
2022-08-28 12:41:29,-6.0
2022-08-28 12:41:51,48.0
2022-08-28 12:42:12,-11.0
2022-08-28 12:42:38,79.0
2022-08-28 12:42:58,63.0
2022-08-28 12:43:17,-9.0
2022-08-28 12:43:38,43.0
2022-08-28 12:43:59,8.0
2022-08-28 12:44:26,34.0
2022-08-28 12:44:46,21.0
2022-08-28 12:45:07,-7.0
2022-08-28 12:45:27,-3.0
2022-08-28 12:45:46,9.0
2022-08-28 12:46:13,22.0
2022-08-28 12:46:32,3.0
2022-08-28 12:46:53,-9.0
2022-08-28 12:47:13,-24.0
2022-08-28 12:47:33,-12.0
2022-08-28 12:48:00,1.0
2022-08-28 12:48:20,-23.0
2022-08-28 12:48:41,7.0
2022-08-28 12:49:02,-772.0
2022-08-28 12:49:22,157.0
2022-08-28 12:49:42,101.0
2022-08-28 12:50:08,-246.0
2022-08-28 12:50:28,6.0
2022-08-28 12:50:48,62.0
2022-08-28 12:51:12,215.0
2022-08-28 12:51:33,185.0
2022-08-28 12:51:56,223.0
2022-08-28 12:52:10,118.0
2022-08-28 12:52:39,80.0
2022-08-28 12:52:58,106.0
2022-08-28 12:53:18,76.0
2022-08-28 12:53:38,75.0
2022-08-28 12:54:04,106.0
2022-08-28 12:54:23,70.0
2022-08-28 12:54:42,53.0
2022-08-28 12:55:03,103.0
2022-08-28 12:55:29,95.0
2022-08-28 12:55:49,44.0
2022-08-28 12:56:09,105.0
2022-08-28 12:56:29,49.0
2022-08-28 12:56:55,187.0
2022-08-28 12:57:16,-21.0
2022-08-28 12:57:36,85.0
2022-08-28 12:57:56,127.0
2022-08-28 12:58:17,158.0
2022-08-28 12:58:42,128.0
2022-08-28 12:59:03,77.0
2022-08-28 12:59:22,85.0
2022-08-28 12:59:42,74.0
2022-08-28 13:00:02,118.0
2022-08-28 13:00:28,118.0
2022-08-28 13:00:48,96.0
2022-08-28 13:01:07,41.0
2022-08-28 13:01:33,-564.0
2022-08-28 13:01:54,-130.0
2022-08-28 13:02:15,-152.0
2022-08-28 13:02:35,-84.0
2022-08-28 13:02:55,-544.0
2022-08-28 13:03:15,0.0
2022-08-28 13:03:36,33.0
2022-08-28 13:04:03,39.0
2022-08-28 13:04:23,12.0
2022-08-28 13:04:42,12.0
2022-08-28 13:05:08,28.0
2022-08-28 13:05:29,-121.0
2022-08-28 13:05:49,-134.0
2022-08-28 13:06:09,233.0
2022-08-28 13:06:28,139.0
2022-08-28 13:06:55,136.0
2022-08-28 13:07:15,116.0
2022-08-28 13:07:34,116.0
2022-08-28 13:07:54,182.0
2022-08-28 13:08:15,105.0
2022-08-28 13:08:42,120.0
2022-08-28 13:09:02,94.0
2022-08-28 13:09:22,149.0
2022-08-28 13:09:42,144.0
2022-08-28 13:10:08,-831.0
2022-08-28 13:10:28,-610.0
2022-08-28 13:10:47,-307.0
2022-08-28 13:11:08,-1033.0
2022-08-28 13:11:32,110.0
2022-08-28 13:11:50,-178.0
2022-08-28 13:12:09,204.0
2022-08-28 13:12:34,-211.0
2022-08-28 13:12:53,-85.0
2022-08-28 13:13:18,146.0
2022-08-28 13:13:34,56.0
2022-08-28 13:13:59,47.0
2022-08-28 13:14:24,135.0
2022-08-28 13:14:41,84.0
2022-08-28 13:15:06,350.0
2022-08-28 13:15:23,-109.0
2022-08-28 13:15:49,-155.0
2022-08-28 13:16:06,-144.0
2022-08-28 13:16:26,-133.0
2022-08-28 13:16:53,-140.0
2022-08-28 13:17:11,-134.0
2022-08-28 13:17:30,-137.0
2022-08-28 13:17:57,-119.0
2022-08-28 13:18:14,-137.0
2022-08-28 13:18:39,-650.0
2022-08-28 13:18:57,59.0
2022-08-28 13:19:21,309.0
2022-08-28 13:19:28,320.0
2022-08-28 13:20:06,-401.0
2022-08-28 13:20:27,-62.0
2022-08-28 13:20:48,-557.0
2022-08-28 13:21:08,-430.0
2022-08-28 13:21:30,-420.0
2022-08-28 13:21:52,314.0
2022-08-28 13:22:13,174.0
2022-08-28 13:22:35,69.0
2022-08-28 13:22:57,-420.0
2022-08-28 13:23:18,-153.0
2022-08-28 13:23:39,-119.0
2022-08-28 13:24:01,-375.0
2022-08-28 13:24:23,-348.0
2022-08-28 13:24:45,-342.0
2022-08-28 13:25:07,-349.0
2022-08-28 13:25:28,-259.0
2022-08-28 13:25:44,-77.0
2022-08-28 13:26:05,-77.0
2022-08-28 13:26:28,-64.0
2022-08-28 13:26:48,-59.0
2022-08-28 13:27:10,-402.0
2022-08-28 13:27:20,-434.0
2022-08-28 13:35:01,-102.0
2022-08-28 13:35:23,243.0
2022-08-28 13:35:44,188.0
2022-08-28 13:36:07,157.0
2022-08-28 13:36:28,141.0
2022-08-28 13:36:50,-142.0
2022-08-28 13:37:11,-537.0
2022-08-28 13:37:33,192.0
2022-08-28 13:37:55,165.0
2022-08-28 13:38:17,-54.0
2022-08-28 13:38:32,85.0
2022-08-28 13:46:48,159.0
2022-08-28 13:47:14,148.0
2022-08-28 13:47:37,164.0
2022-08-28 13:47:59,238.0
2022-08-28 13:48:14,-78.0
2022-08-28 13:48:37,-123.0
2022-08-28 13:48:59,197.0
2022-08-28 13:49:23,-639.0
2022-08-28 13:49:39,19.0
2022-08-28 13:50:04,5.0
2022-08-28 13:50:26,-38.0
2022-08-28 13:50:42,-97.0
2022-08-28 13:51:06,-117.0
2022-08-28 13:51:29,-36.0
2022-08-28 13:51:45,11.0
2022-08-28 13:52:12,19.0
2022-08-28 13:52:36,26.0
2022-08-28 13:52:54,15.0
2022-08-28 13:53:17,-23.0
2022-08-28 13:53:39,-19.0
2022-08-28 13:54:02,-6.0
2022-08-28 13:54:18,117.0
2022-08-28 13:54:40,79.0
2022-08-28 13:55:07,48.0
2022-08-28 13:55:29,49.0
2022-08-28 13:55:45,54.0
2022-08-28 13:56:07,87.0
2022-08-28 13:56:28,65.0
2022-08-28 13:56:51,49.0
2022-08-28 13:57:16,31.0
2022-08-28 13:57:31,43.0
2022-08-28 13:57:53,19.0
2022-08-28 13:58:14,5.0
2022-08-28 13:58:42,-28.0
2022-08-28 13:59:02,-46.0
2022-08-28 13:59:22,-109.0
2022-08-28 13:59:42,43.0
2022-08-28 14:00:01,-117.0
2022-08-28 14:00:28,-19.0
2022-08-28 14:00:48,-19.0
2022-08-28 14:01:08,-27.0
2022-08-28 14:01:33,-3.0
2022-08-28 14:01:51,-2.0
2022-08-28 14:02:10,-136.0
2022-08-28 14:02:37,-5.0
2022-08-28 14:02:57,-104.0
2022-08-28 14:03:17,-29.0
2022-08-28 14:03:37,-82.0
2022-08-28 14:04:04,-67.0
2022-08-28 14:04:24,-38.0
2022-08-28 14:04:44,-20.0
2022-08-28 14:05:05,61.0
2022-08-28 14:05:25,7.0
2022-08-28 14:05:45,70.0
2022-08-28 14:06:11,13.0
2022-08-28 14:06:30,26.0
2022-08-28 14:06:49,19.0
2022-08-28 14:07:14,-44.0
2022-08-28 14:07:34,-66.0
2022-08-28 14:07:53,-29.0
2022-08-28 14:08:19,-11.0
2022-08-28 14:08:38,4.0
2022-08-28 14:08:59,6.0
2022-08-28 14:09:19,-80.0
2022-08-28 14:09:46,-14.0
2022-08-28 14:10:04,-39.0
2022-08-28 14:10:24,-24.0
2022-08-28 14:10:49,-14.0
2022-08-28 14:11:08,-23.0
2022-08-28 14:11:28,-89.0
2022-08-28 14:11:54,-13.0
2022-08-28 14:12:12,-19.0
2022-08-28 14:12:32,-122.0
2022-08-28 14:12:57,-93.0
2022-08-28 14:13:16,-41.0
2022-08-28 14:13:37,-40.0
2022-08-28 14:13:56,-17.0
2022-08-28 14:14:23,-22.0
2022-08-28 14:14:42,-26.0
2022-08-28 14:15:02,-66.0
2022-08-28 14:15:27,-62.0
2022-08-28 14:15:46,-60.0
2022-08-28 14:16:05,-17.0
2022-08-28 14:16:31,-18.0
2022-08-28 14:16:50,-29.0
2022-08-28 14:17:16,-57.0
2022-08-28 14:17:36,-33.0
2022-08-28 14:17:55,-155.0
2022-08-28 14:18:21,-25.0
2022-08-28 14:18:40,-20.0
2022-08-28 14:18:59,32.0
2022-08-28 14:19:20,-19.0
2022-08-28 14:19:46,-4.0
2022-08-28 14:20:06,-21.0
2022-08-28 14:20:25,20.0
2022-08-28 14:20:46,-20.0
2022-08-28 14:21:13,-56.0
2022-08-28 14:21:33,-70.0
2022-08-28 14:21:54,-101.0
2022-08-28 14:22:16,-631.0
2022-08-28 14:22:37,-781.0
2022-08-28 14:22:56,-494.0
2022-08-28 14:23:16,-646.0
2022-08-28 14:23:42,-408.0
2022-08-28 14:24:02,-727.0
2022-08-28 14:24:21,-702.0
2022-08-28 14:24:41,-710.0
2022-08-28 14:25:08,-744.0
2022-08-28 14:25:27,-718.0
2022-08-28 14:25:48,-686.0
2022-08-28 14:26:07,-765.0
2022-08-28 14:26:33,-771.0
2022-08-28 14:26:52,-749.0
2022-08-28 14:27:12,-758.0
2022-08-28 14:27:38,-727.0
2022-08-28 14:27:57,-757.0
2022-08-28 14:28:17,-738.0
2022-08-28 14:28:43,-806.0
2022-08-28 14:29:02,-772.0
2022-08-28 14:29:22,-794.0
2022-08-28 14:29:42,-774.0
2022-08-28 14:30:07,-762.0
2022-08-28 14:30:26,-800.0
2022-08-28 14:30:46,-785.0
2022-08-28 14:31:12,-773.0
2022-08-28 14:31:32,-773.0
2022-08-28 14:31:52,-748.0
2022-08-28 14:32:16,-800.0
2022-08-28 14:32:35,-820.0
2022-08-28 14:32:55,-791.0
2022-08-28 14:33:21,-766.0
2022-08-28 14:33:39,-821.0
2022-08-28 14:33:59,-795.0
2022-08-28 14:34:24,-793.0
2022-08-28 14:34:43,-775.0
2022-08-28 14:35:02,-701.0
2022-08-28 14:35:28,-755.0
2022-08-28 14:35:48,-784.0
2022-08-28 14:36:07,-765.0
2022-08-28 14:36:34,-764.0
2022-08-28 14:36:52,-818.0
2022-08-28 14:37:12,-804.0
2022-08-28 14:37:37,-820.0
2022-08-28 14:37:57,-811.0
2022-08-28 14:38:17,-827.0
2022-08-28 14:38:37,-440.0
2022-08-28 14:38:56,-807.0
2022-08-28 14:39:24,-801.0
2022-08-28 14:39:44,-800.0
2022-08-28 14:40:04,-794.0
2022-08-28 14:40:29,-784.0
2022-08-28 14:40:48,-790.0
2022-08-28 14:41:07,-717.0
2022-08-28 14:41:27,-734.0
2022-08-28 14:41:53,-760.0
2022-08-28 14:42:12,-810.0
2022-08-28 14:42:36,-814.0
2022-08-28 14:42:56,-735.0
2022-08-28 14:43:15,-786.0
2022-08-28 14:43:42,-800.0
2022-08-28 14:44:00,-779.0
2022-08-28 14:44:19,-784.0
2022-08-28 14:44:46,-788.0
2022-08-28 14:45:05,-783.0
2022-08-28 14:45:24,-794.0
2022-08-28 14:45:48,-791.0
2022-08-28 14:46:08,-797.0
2022-08-28 14:46:28,-758.0
2022-08-28 14:46:53,-792.0
2022-08-28 14:47:12,-764.0
2022-08-28 14:47:32,-758.0
2022-08-28 14:47:57,-808.0
2022-08-28 14:48:17,-804.0
2022-08-28 14:48:36,-788.0
2022-08-28 14:49:02,-773.0
2022-08-28 14:49:22,-748.0
2022-08-28 14:49:41,-748.0
2022-08-28 14:50:07,-765.0
2022-08-28 14:50:26,-767.0
2022-08-28 14:50:50,-773.0
2022-08-28 14:51:09,-770.0
2022-08-28 14:51:29,-769.0
2022-08-28 14:51:54,-787.0
2022-08-28 14:52:14,-799.0
2022-08-28 14:52:33,-793.0
2022-08-28 14:52:59,-795.0
2022-08-28 14:53:19,-721.0
2022-08-28 14:53:38,-801.0
2022-08-28 14:53:59,-812.0
2022-08-28 14:54:25,-803.0
2022-08-28 14:54:45,-787.0
2022-08-28 14:55:04,-795.0
2022-08-28 14:55:24,-834.0
2022-08-28 14:55:49,-817.0
2022-08-28 14:56:09,-710.0
2022-08-28 14:56:28,-726.0
2022-08-28 14:56:55,-761.0
2022-08-28 14:57:13,-770.0
2022-08-28 14:57:33,-722.0
2022-08-28 14:57:59,-762.0
2022-08-28 14:58:18,-757.0
2022-08-28 14:58:37,-724.0
2022-08-28 14:59:02,-816.0
2022-08-28 14:59:20,-818.0
2022-08-28 14:59:45,-801.0
2022-08-28 15:00:04,-701.0
2022-08-28 15:00:23,-648.0
2022-08-28 15:00:49,-765.0
2022-08-28 15:01:08,-799.0
2022-08-28 15:01:27,-768.0
2022-08-28 15:01:52,-784.0
2022-08-28 15:02:10,-788.0
2022-08-28 15:02:36,-793.0
2022-08-28 15:02:55,-757.0
2022-08-28 15:03:14,-764.0
2022-08-28 15:03:39,-762.0
2022-08-28 15:03:58,-776.0
2022-08-28 15:04:24,-794.0
2022-08-28 15:04:44,-761.0
2022-08-28 15:05:04,-766.0
2022-08-28 15:05:28,-799.0
2022-08-28 15:05:48,-840.0
2022-08-28 15:06:07,-735.0
2022-08-28 15:06:32,-782.0
2022-08-28 15:06:52,-805.0
2022-08-28 15:07:11,-805.0
2022-08-28 15:07:37,-801.0
2022-08-28 15:07:57,-800.0
2022-08-28 15:08:17,-799.0
2022-08-28 15:08:35,-754.0
2022-08-28 15:09:01,-770.0
2022-08-28 15:09:22,-779.0
2022-08-28 15:09:41,-783.0
2022-08-28 15:10:01,-815.0
2022-08-28 15:10:26,-780.0
2022-08-28 15:10:45,-794.0
2022-08-28 15:11:11,-774.0
2022-08-28 15:11:30,-808.0
2022-08-28 15:11:50,-799.0
2022-08-28 15:12:11,-819.0
2022-08-28 15:12:32,-350.0
2022-08-28 15:12:54,-674.0
2022-08-28 15:13:15,-672.0
2022-08-28 15:13:35,-693.0
2022-08-28 15:14:03,-691.0
2022-08-28 15:14:23,-602.0
2022-08-28 15:14:45,235.0
2022-08-28 15:15:07,266.0
2022-08-28 15:15:22,-34.0
2022-08-28 15:15:46,-54.0
2022-08-28 15:16:09,-3.0
2022-08-28 15:16:32,94.0
2022-08-28 15:16:49,-213.0
2022-08-28 15:17:11,144.0
2022-08-28 15:17:32,5.0
2022-08-28 15:17:53,-22.0
2022-08-28 15:18:18,-16.0
2022-08-28 15:18:39,-55.0
2022-08-28 15:18:58,-37.0
2022-08-28 15:19:24,-54.0
2022-08-28 15:19:44,-28.0
2022-08-28 15:20:04,-101.0
2022-08-28 15:20:24,-208.0
2022-08-28 15:20:44,-328.0
2022-08-28 15:21:12,-386.0
2022-08-28 15:21:32,-375.0
2022-08-28 15:21:54,-100.0
2022-08-28 15:22:14,-26.0
2022-08-28 15:22:34,-32.0
2022-08-28 15:23:01,124.0
2022-08-28 15:23:17,0.0
2022-08-28 15:23:43,-19.0
2022-08-28 15:24:05,35.0
2022-08-28 15:24:25,-10.0
2022-08-28 15:24:46,12.0
2022-08-28 15:25:06,32.0
2022-08-28 15:25:26,43.0
2022-08-28 15:25:48,58.0
2022-08-28 15:26:14,13.0
2022-08-28 15:26:34,-12.0
2022-08-28 15:26:54,16.0
2022-08-28 15:27:14,-22.0
2022-08-28 15:27:40,-70.0
2022-08-28 15:28:01,-234.0
2022-08-28 15:28:20,51.0
2022-08-28 15:28:40,48.0
2022-08-28 15:29:00,50.0
2022-08-28 15:29:28,-33.0
2022-08-28 15:29:48,-275.0
2022-08-28 15:30:07,-281.0
2022-08-28 15:30:27,-254.0
