datetime,value
2022-08-26 13:55:32,317.0
2022-08-26 13:55:54,537.0
2022-08-26 13:56:17,86.0
2022-08-26 13:56:40,-271.0
2022-08-26 13:57:05,896.0
2022-08-26 13:57:26,513.0
2022-08-26 13:57:48,23.0
2022-08-26 13:58:08,593.0
2022-08-26 13:58:30,-56.0
2022-08-26 13:58:52,91.0
2022-08-26 13:59:14,-313.0
2022-08-26 13:59:28,643.0
2022-08-26 13:59:50,482.0
2022-08-26 14:00:13,365.0
2022-08-26 14:00:35,823.0
2022-08-26 14:00:57,791.0
2022-08-26 14:01:21,146.0
2022-08-26 14:01:42,261.0
2022-08-26 14:02:04,517.0
2022-08-26 14:02:25,472.0
2022-08-26 14:02:46,646.0
2022-08-26 14:03:06,47.0
2022-08-26 14:03:28,587.0
2022-08-26 14:03:42,584.0
2022-08-26 14:03:55,572.0
2022-08-26 14:04:54,-125.0
2022-08-26 14:05:16,145.0
2022-08-26 14:05:37,648.0
2022-08-26 14:06:00,409.0
2022-08-26 14:06:15,783.0
2022-08-26 14:06:38,146.0
2022-08-26 14:06:59,535.0
2022-08-26 14:07:21,144.0
2022-08-26 14:07:42,827.0
2022-08-26 14:08:03,60.0
2022-08-26 14:08:25,474.0
2022-08-26 14:08:46,415.0
2022-08-26 14:09:07,742.0
2022-08-26 14:09:29,522.0
2022-08-26 14:09:50,97.0
2022-08-26 14:10:13,587.0
2022-08-26 14:10:35,707.0
2022-08-26 14:10:57,436.0
2022-08-26 14:11:18,63.0
2022-08-26 14:11:38,841.0
2022-08-26 14:12:00,720.0
2022-08-26 14:12:21,566.0
2022-08-26 14:12:43,910.0
2022-08-26 14:13:04,592.0
2022-08-26 14:13:32,590.0
2022-08-26 14:13:53,555.0
2022-08-26 14:14:08,409.0
2022-08-26 14:14:30,473.0
2022-08-26 14:14:51,43.0
2022-08-26 14:15:19,781.0
2022-08-26 14:15:40,755.0
2022-08-26 14:16:01,921.0
2022-08-26 14:16:23,504.0
2022-08-26 14:16:44,580.0
2022-08-26 14:17:05,736.0
2022-08-26 14:17:25,740.0
2022-08-26 14:17:46,363.0
2022-08-26 14:18:07,871.0
2022-08-26 14:18:27,878.0
2022-08-26 14:18:49,628.0
2022-08-26 14:19:12,346.0
2022-08-26 14:19:34,334.0
2022-08-26 14:19:56,637.0
2022-08-26 14:20:18,674.0
2022-08-26 14:20:41,512.0
2022-08-26 14:21:02,76.0
2022-08-26 14:21:24,169.0
2022-08-26 14:21:46,584.0
2022-08-26 14:22:02,589.0
2022-08-26 14:22:25,732.0
2022-08-26 14:22:49,800.0
2022-08-26 14:23:05,504.0
2022-08-26 14:23:24,615.0
2022-08-26 14:23:48,670.0
2022-08-26 14:24:02,730.0
2022-08-26 14:24:54,648.0
2022-08-26 14:25:17,249.0
2022-08-26 14:25:39,578.0
2022-08-26 14:26:03,506.0
2022-08-26 14:26:24,463.0
2022-08-26 14:26:46,88.0
2022-08-26 14:27:07,495.0
2022-08-26 14:27:29,386.0
2022-08-26 14:27:50,448.0
2022-08-26 14:28:11,658.0
2022-08-26 14:28:33,316.0
2022-08-26 14:28:54,451.0
2022-08-26 14:29:15,610.0
2022-08-26 14:29:36,422.0
2022-08-26 14:29:58,396.0
2022-08-26 14:30:19,559.0
2022-08-26 14:30:41,614.0
2022-08-26 14:31:04,477.0
2022-08-26 14:31:25,347.0
2022-08-26 14:31:47,641.0
2022-08-26 14:32:02,577.0
2022-08-26 14:32:25,618.0
2022-08-26 14:32:46,611.0
2022-08-26 14:33:07,660.0
2022-08-26 14:33:29,601.0
2022-08-26 14:33:50,623.0
2022-08-26 14:34:12,628.0
2022-08-26 14:34:34,664.0
2022-08-26 14:34:55,617.0
2022-08-26 14:35:16,560.0
2022-08-26 14:35:38,646.0
2022-08-26 14:35:59,619.0
2022-08-26 14:36:21,620.0
2022-08-26 14:36:43,262.0
2022-08-26 14:37:04,455.0
2022-08-26 14:37:26,645.0
2022-08-26 14:37:47,693.0
2022-08-26 14:38:08,432.0
2022-08-26 14:38:30,342.0
2022-08-26 14:38:37,-115.0
2022-08-26 14:42:45,189.0
2022-08-26 14:43:13,244.0
2022-08-26 14:43:28,221.0
2022-08-26 14:43:51,756.0
2022-08-26 14:44:13,143.0
2022-08-26 14:44:34,751.0
2022-08-26 14:44:56,758.0
2022-08-26 14:45:17,134.0
2022-08-26 14:45:38,107.0
2022-08-26 14:45:59,-37.0
2022-08-26 14:46:21,765.0
2022-08-26 14:46:43,415.0
