datetime,value
2022-08-28 12:36:30,-201.0
2022-08-28 12:36:51,-206.0
2022-08-28 12:37:12,-202.0
2022-08-28 12:37:33,29.0
2022-08-28 12:37:53,27.0
2022-08-28 12:38:14,-48.0
2022-08-28 12:38:41,-399.0
2022-08-28 12:39:02,-301.0
2022-08-28 12:39:22,-333.0
2022-08-28 12:39:42,-231.0
2022-08-28 12:40:02,-263.0
2022-08-28 12:40:28,-312.0
2022-08-28 12:40:47,-292.0
2022-08-28 12:41:12,-284.0
2022-08-28 12:41:28,-284.0
2022-08-28 12:41:50,-264.0
2022-08-28 12:42:12,-231.0
2022-08-28 12:42:37,-289.0
2022-08-28 12:42:57,-250.0
2022-08-28 12:43:16,-290.0
2022-08-28 12:43:38,-278.0
2022-08-28 12:43:58,-258.0
2022-08-28 12:44:25,-266.0
2022-08-28 12:44:46,-262.0
2022-08-28 12:45:06,-228.0
2022-08-28 12:45:26,-298.0
2022-08-28 12:45:46,-274.0
2022-08-28 12:46:12,-277.0
2022-08-28 12:46:32,-270.0
2022-08-28 12:46:52,-247.0
2022-08-28 12:47:12,-238.0
2022-08-28 12:47:39,-290.0
2022-08-28 12:47:59,-289.0
2022-08-28 12:48:19,-275.0
2022-08-28 12:48:41,-271.0
2022-08-28 12:49:01,159.0
2022-08-28 12:49:22,-243.0
2022-08-28 12:49:41,-144.0
2022-08-28 12:50:08,-306.0
2022-08-28 12:50:28,-304.0
2022-08-28 12:50:48,-297.0
2022-08-28 12:51:11,-207.0
2022-08-28 12:51:33,-206.0
2022-08-28 12:51:55,-8.0
2022-08-28 12:52:17,-258.0
2022-08-28 12:52:38,-219.0
2022-08-28 12:52:57,-240.0
2022-08-28 12:53:18,-215.0
2022-08-28 12:53:37,-217.0
2022-08-28 12:54:04,-297.0
2022-08-28 12:54:23,-293.0
2022-08-28 12:54:42,-269.0
2022-08-28 12:55:03,-295.0
2022-08-28 12:55:28,-278.0
2022-08-28 12:55:48,-266.0
2022-08-28 12:56:08,-271.0
2022-08-28 12:56:28,-273.0
2022-08-28 12:56:54,-264.0
2022-08-28 12:57:15,-278.0
2022-08-28 12:57:35,-273.0
2022-08-28 12:57:56,-226.0
2022-08-28 12:58:17,-306.0
2022-08-28 12:58:42,-300.0
2022-08-28 12:59:02,-292.0
2022-08-28 12:59:21,-275.0
2022-08-28 12:59:41,-268.0
2022-08-28 13:00:08,-233.0
2022-08-28 13:00:27,-214.0
2022-08-28 13:00:47,-262.0
2022-08-28 13:01:07,-240.0
2022-08-28 13:01:33,-242.0
2022-08-28 13:01:54,-365.0
2022-08-28 13:02:14,-347.0
2022-08-28 13:02:35,-292.0
2022-08-28 13:02:55,-253.0
2022-08-28 13:03:15,-326.0
2022-08-28 13:03:35,-294.0
2022-08-28 13:04:03,-292.0
2022-08-28 13:04:22,-301.0
2022-08-28 13:04:41,-307.0
2022-08-28 13:05:07,-294.0
2022-08-28 13:05:28,-184.0
2022-08-28 13:05:48,-254.0
2022-08-28 13:06:08,-85.0
2022-08-28 13:06:28,-26.0
2022-08-28 13:06:54,-59.0
