datetime,value
2022-08-26 13:55:33,-810.0
2022-08-26 13:55:55,-817.0
2022-08-26 13:56:18,-752.0
2022-08-26 13:56:25,-810.0
2022-08-26 13:56:50,-479.0
2022-08-26 13:57:20,-810.0
2022-08-26 13:57:41,-26.0
2022-08-26 13:58:10,-229.0
2022-08-26 13:58:31,221.0
2022-08-26 13:58:45,312.0
2022-08-26 13:59:07,-490.0
2022-08-26 13:59:29,-317.0
2022-08-26 13:59:51,285.0
2022-08-26 14:00:14,-328.0
2022-08-26 14:00:36,-158.0
2022-08-26 14:00:58,-391.0
2022-08-26 14:01:22,-158.0
2022-08-26 14:01:43,-244.0
2022-08-26 14:02:04,-622.0
2022-08-26 14:02:26,-785.0
2022-08-26 14:02:47,-302.0
2022-08-26 14:03:07,-655.0
2022-08-26 14:03:29,58.0
2022-08-26 14:03:43,189.0
2022-08-26 14:03:57,410.0
2022-08-26 14:04:55,243.0
2022-08-26 14:05:17,-339.0
2022-08-26 14:05:38,202.0
2022-08-26 14:05:53,-122.0
2022-08-26 14:06:16,-478.0
2022-08-26 14:06:39,-514.0
2022-08-26 14:07:01,-498.0
2022-08-26 14:07:22,114.0
2022-08-26 14:07:43,-144.0
2022-08-26 14:08:04,187.0
2022-08-26 14:08:25,428.0
2022-08-26 14:08:47,97.0
2022-08-26 14:09:08,-363.0
2022-08-26 14:09:30,-616.0
2022-08-26 14:09:51,489.0
2022-08-26 14:10:14,462.0
2022-08-26 14:10:36,-519.0
2022-08-26 14:10:58,27.0
2022-08-26 14:11:19,60.0
2022-08-26 14:11:39,46.0
2022-08-26 14:12:01,-132.0
2022-08-26 14:12:22,33.0
2022-08-26 14:12:44,-253.0
2022-08-26 14:13:05,-426.0
2022-08-26 14:13:26,383.0
2022-08-26 14:13:47,96.0
2022-08-26 14:14:09,72.0
2022-08-26 14:14:31,-665.0
2022-08-26 14:14:52,-263.0
2022-08-26 14:15:13,-675.0
2022-08-26 14:15:34,-431.0
2022-08-26 14:16:02,-53.0
2022-08-26 14:16:17,161.0
2022-08-26 14:16:45,-262.0
2022-08-26 14:17:06,-257.0
2022-08-26 14:17:26,-216.0
2022-08-26 14:17:47,-37.0
2022-08-26 14:18:08,-483.0
2022-08-26 14:18:28,-396.0
2022-08-26 14:18:50,-118.0
2022-08-26 14:19:13,-451.0
2022-08-26 14:19:35,-626.0
2022-08-26 14:19:57,77.0
2022-08-26 14:20:19,-38.0
2022-08-26 14:20:42,244.0
2022-08-26 14:21:03,63.0
2022-08-26 14:21:18,-138.0
2022-08-26 14:21:40,-379.0
2022-08-26 14:22:03,149.0
2022-08-26 14:22:26,-244.0
2022-08-26 14:22:50,-340.0
2022-08-26 14:23:06,-261.0
2022-08-26 14:23:26,-498.0
2022-08-26 14:23:49,-282.0
2022-08-26 14:24:04,-488.0
2022-08-26 14:24:55,236.0
2022-08-26 14:25:18,183.0
2022-08-26 14:25:40,348.0
2022-08-26 14:26:04,-495.0
2022-08-26 14:26:25,320.0
2022-08-26 14:26:46,-257.0
2022-08-26 14:27:08,213.0
2022-08-26 14:27:30,197.0
2022-08-26 14:27:51,-288.0
2022-08-26 14:28:12,70.0
2022-08-26 14:28:34,222.0
2022-08-26 14:28:55,102.0
2022-08-26 14:29:16,-571.0
2022-08-26 14:29:37,-124.0
2022-08-26 14:29:58,-113.0
2022-08-26 14:30:20,261.0
2022-08-26 14:30:42,195.0
2022-08-26 14:31:04,-638.0
2022-08-26 14:31:26,105.0
2022-08-26 14:31:41,43.0
2022-08-26 14:32:03,-131.0
2022-08-26 14:32:26,-46.0
2022-08-26 14:32:47,-160.0
2022-08-26 14:33:08,18.0
2022-08-26 14:33:30,-62.0
2022-08-26 14:33:51,-12.0
2022-08-26 14:34:13,61.0
2022-08-26 14:34:35,40.0
2022-08-26 14:34:56,105.0
2022-08-26 14:35:17,-166.0
2022-08-26 14:35:39,2.0
2022-08-26 14:36:00,-47.0
2022-08-26 14:36:21,142.0
2022-08-26 14:36:44,298.0
2022-08-26 14:37:05,-229.0
2022-08-26 14:37:27,120.0
2022-08-26 14:37:47,225.0
2022-08-26 14:38:09,-576.0
2022-08-26 14:38:30,222.0
2022-08-26 14:38:38,38.0
2022-08-26 14:42:46,91.0
2022-08-26 14:43:07,115.0
2022-08-26 14:43:29,154.0
2022-08-26 14:43:52,-276.0
2022-08-26 14:44:13,87.0
2022-08-26 14:44:35,-323.0
2022-08-26 14:44:57,-702.0
2022-08-26 14:45:18,-671.0
2022-08-26 14:45:38,-665.0
2022-08-26 14:46:00,22.0
2022-08-26 14:46:22,-25.0
2022-08-26 14:46:44,149.0
2022-08-26 14:47:05,-672.0
2022-08-26 14:47:28,-756.0
